Layer Type,Layer Name,Layer Trainable
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F6280198>,block4c_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F6287160>,block4c_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F6287DA0>,block4c_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F6290550>,block4c_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F62981D0>,block4c_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F62986D8>,block4c_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F6298630>,block4c_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F62A51D0>,block4d_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F62C4B00>,block4d_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F62BEFD0>,block4d_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F62CBCC0>,block4d_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F7D18AC8>,block4d_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F7D18CC0>,block4d_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F7D29B70>,block4d_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F7D1EBE0>,block4d_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F7D382E8>,block4d_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F7D3E278>,block4d_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F7D3EEF0>,block4d_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F7D476A0>,block4d_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F7D4F2E8>,block4d_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F7D4F828>,block4d_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F7D4F710>,block4d_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F7D5A320>,block4e_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F7D7AC50>,block4e_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F7D82358>,block4e_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F7D82198>,block4e_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F912EC18>,block4e_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F9134518>,block4e_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F9140CC0>,block4e_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F9134D30>,block4e_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F914F438>,block4e_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91563C8>,block4e_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F9156940>,block4e_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F915D7F0>,block4e_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F9166470>,block4e_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F9166978>,block4e_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F91668D0>,block4e_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91706D8>,block5a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F918FDA0>,block5a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F91974A8>,block5a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F91A5FD0>,block5a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F91B8D68>,block5a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F91BE668>,block5a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F91C8E10>,block5a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F91BEE80>,block5a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91D7588>,block5a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91DC5C0>,block5a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F91DCC50>,block5a_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91E5940>,block5a_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F91ED5C0>,block5a_project_bn,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F91ED908>,block5b_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F92095C0>,block5b_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F920F160>,block5b_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209F920F0F0>,block5b_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F922EC18>,block5b_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F9232518>,block5b_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209F923FCC0>,block5b_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209F9232D30>,block5b_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F924D438>,block5b_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F92553C8>,block5b_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209F9255940>,block5b_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F925B7F0>,block5b_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F9542470>,block5b_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x00000209F9542978>,block5b_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x00000209F95428D0>,block5b_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209F954D470>,block5c_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209F956EDA0>,block5c_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209F95724E0>,block5c_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x00000209FD940FD0>,block5c_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x00000209FD952D68>,block5c_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x00000209FD956668>,block5c_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x00000209FD963E10>,block5c_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x00000209FD956E80>,block5c_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209FD973588>,block5c_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x00000209FD97B5C0>,block5c_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x00000209FD97BC50>,block5c_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B88FC1940>,block5c_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B88FC95C0>,block5c_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B88FC9AC8>,block5c_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B88FC9A20>,block5c_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B88FD45C0>,block5d_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B88FF5B38>,block5d_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B88FFD5F8>,block5d_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B88FFD518>,block5d_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8901AC18>,block5d_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8901F780>,block5d_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8901F0B8>,block5d_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B89033FD0>,block5d_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8903A710>,block5d_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B89040668>,block5d_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B89040DA0>,block5d_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B89045A90>,block5d_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B89050710>,block5d_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B89050C18>,block5d_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B89050B70>,block5d_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B89072D30>,block5e_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8907D438>,block5e_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B89083748>,block5e_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B89083668>,block5e_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B890A0D30>,block5e_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B890A6898>,block5e_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B890A61D0>,block5e_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B890B3128>,block5e_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B890C1828>,block5e_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B890C33C8>,block5e_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B890C3EF0>,block5e_se_excite,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B890CEBA8>,block5e_project_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B890D7828>,block5e_project_bn,True
<efficientnet.model.get_dropout.<locals>.FixedDropout object at 0x0000020B890D7D30>,block5e_drop,True
<tensorflow.python.keras.layers.merge.Add object at 0x0000020B890D7C88>,block5e_add,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B890DFA90>,block6a_expand_conv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B8910B240>,block6a_expand_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8910B668>,block6a_expand_activation,True
<tensorflow.python.keras.layers.convolutional.DepthwiseConv2D object at 0x0000020B8910B780>,block6a_dwconv,True
<tensorflow.python.keras.layers.normalization_v2.BatchNormalization object at 0x0000020B89127A58>,block6a_bn,True
<tensorflow.python.keras.layers.core.Activation object at 0x0000020B8912E9E8>,block6a_activation,True
<tensorflow.python.keras.layers.pooling.GlobalAveragePooling2D object at 0x0000020B8912E320>,block6a_se_squeeze,True
<tensorflow.python.keras.layers.core.Reshape object at 0x0000020B891394E0>,block6a_se_reshape,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A11A940>,block6a_se_reduce,True
<tensorflow.python.keras.layers.convolutional.Conv2D object at 0x0000020B8A11E2B0>,block6a_se_expand,True
<tensorflow.python.keras.layers.merge.Multiply object at 0x0000020B8A124198>,block6a_se_excite,True
